isJunction,isValid,locationType,stopDesc,stopId,stopLat,stopLon,stopName
N,Y,STOP,,2681,22.737102,88.318111,RAJYADHARPUR
N,Y,STOP,,2682,22.810298,88.352274,GOURHATI ESI HOSPITAL
N,Y,STOP,,2683,22.518331,88.470941,BAMUNGHATA BAZAAR (GHATAK PUKUR)
N,Y,STOP,,2684,22.868795,88.373412,SARISHAPARA
N,Y,STOP,,2687,22.884515,88.389385,TOLAFATAK
N,Y,STOP,,2688,22.889551,88.391751,GOROSTHAN MORE
N,Y,STOP,,2689,22.604022,88.322134,BELGACHIA (HOWRAH)
N,Y,STOP,,2690,22.405558,88.456062,PANCHGHARA
N,Y,STOP,,2691,22.656216,88.039518,BASANTAPUR (UDAYNARAYANPUR RD.)
N,Y,STOP,,2692,22.377455,88.476935,KATAKHAL
N,Y,STOP,,2693,23.734914,88.540607,TEHATTA HOWLIA MORE
N,Y,STOP,,2694,22.392365,88.485092,CHINER MORE
N,Y,STOP,,2695,23.793633,88.491688,SHYAMNAGAR (PALASHIPARA)
N,Y,STOP,,2696,22.360189,88.466603,SITAKUNDU MORE
N,Y,STOP,,2697,22.688222,87.978584,RAJAPUR ASHRAM (UDAYNARAYANPUR RD)
N,Y,STOP,,2698,22.607648,88.283709,BANKRA MARKET
N,Y,STOP,,2699,22.781487,88.368408,PALTA
N,Y,STOP,,2700,22.807698,88.371101,ICHHAPORE METAL FACTORY
N,Y,STOP,,2701,22.828744,88.380016,SHYAMNAGAR STN
N,Y,STOP,,2702,22.826941,88.378941,SHYAMNAGAR CHOWMATHA
N,Y,STOP,,2703,22.585667,88.328618,LAKSHMAN DAS LANE BUS STOP
N,Y,STOP,,2704,22.586536,88.323216,ANNAPURNA BAYAM SAMITY
N,Y,STOP,,2705,22.587846,88.320228,POWER HOUSE (KADAMTALA)
N,Y,STOP,,2706,23.790526,87.389288,DUBRAJPUR POWER HOUSE BUS STOP
N,Y,STOP,,2707,23.98073,88.687824,ARABPUR BUS STOP
N,Y,STOP,,2709,22.565986,88.145638,BELTALA (AMTA)
N,Y,STOP,,2710,22.565917,88.137211,BASTALA (AMTA)
N,Y,STOP,,2711,22.915325,88.197042,GOBINDAPUR BUS STOP (HOOGHLY)
N,Y,STOP,,2712,23.442675,87.465563,PANAGARH BAZAR
N,Y,STOP,,2713,23.343298,87.683984,GALSI CHOWMATHA
N,Y,STOP,,2714,23.001252,88.798157,DOGACHIA
N,Y,STOP,,2715,22.929983,88.730625,GAIGHATA BAZAR
N,Y,STOP,,2716,22.849019,88.663306,HABRA WBTC DEPOT
N,Y,STOP,,2717,22.833278,88.620554,ASHOK NAGAR MATRI SADAN HOSPITAL
N,Y,STOP,,2718,22.833113,88.627591,SHERPUR KALI BARI
N,Y,STOP,,2719,22.730805,88.502548,KAZIPARA (JS. ROAD)
N,Y,STOP,,2720,22.542938,88.396212,SCIENCE CITY
N,Y,STOP,,2721,22.710769,88.706867,NAGAR KACHUA
N,Y,STOP,,2722,22.543255,88.396092,MILAN MELA (SCIENCE CITY)
N,Y,STOP,,2723,22.541864,88.398246,SCIENCE CITY MORE
N,Y,STOP,,2724,22.843658,87.866237,PANPET
N,Y,STOP,,2725,22.856059,87.855658,MAYAPUR (MUTHADANGA)
N,Y,STOP,,2726,22.885666,87.785006,ARAMBAGH HOSPITAL MORE
N,Y,STOP,,2728,22.884363,87.773041,KALIPUR BUS STAND (ARAMBAGH)
N,Y,STOP,,2729,22.508153,88.500892,KANTATALA
N,Y,STOP,,2730,22.895393,87.660477,KAMARPUKUR BUS STAND
N,Y,STOP,,2731,22.89546,87.659834,KAMARPUKUR CHATI
N,Y,STOP,,2732,22.506815,88.631687,BAMUNIA
N,Y,STOP,,2733,22.507266,88.763167,KALI TALA (MALANCHA)
N,Y,STOP,,2735,22.907874,87.652766,KAMARPUKUR (RAMKRISHNA MATH AND MISSION) LAHABAZAR
N,Y,STOP,,2736,22.951348,87.618371,DESHRA BAZAR
N,Y,STOP,,2737,23.032399,87.563788,RAIBAGHINI BUS STOP
N,Y,STOP,,2738,22.514684,88.614106,NANIR BARI BUS STOP
N,Y,STOP,,2739,22.522022,88.611256,KANTHALIA (BHANGAR)
N,Y,STOP,,2740,23.020104,87.580346,GOGRA HOSPITAL MORE
N,Y,STOP,,2741,23.03863,87.556672,BAMUNARIR MORE BUS STOP
N,Y,STOP,,2742,23.041808,87.547187,MIRJAPUR BUS STOP
N,Y,STOP,,2743,23.043875,87.536128,SAINTARA
N,Y,STOP,,2744,23.044979,87.513042,GELIA
N,Y,STOP,,2745,23.050641,87.486665,RAJAGRAM BUS STOP
N,Y,STOP,,2746,23.056192,87.45619,KUMBHASTHAL BUS STOP
N,Y,STOP,,2747,23.055857,87.440318,JOYPUR BUS STOP (BANKURA)
N,Y,STOP,,2748,23.076915,87.31879,POKA BANDH BUS STOP
N,Y,STOP,,2749,23.072978,87.348189,AMTALA MORE / MIT MORE (BISHNUPUR)
N,Y,STOP,,2750,23.063756,87.310547,JHAPOR MORE (BISHNUPUR)
N,Y,STOP,,2751,23.06001,87.31198,NEW BUS STAND BISHNUPUR (BANKURA)
N,Y,STOP,,2752,22.570579,88.349047,B.B.D BAGH (TELEPHONE BHAWAN)
N,Y,STOP,,2753,22.743308,88.788346,BADURIA BUS TERMINUS
N,Y,STOP,,2754,22.512731,88.402058,RUBY HOSPITAL
N,Y,STOP,,2755,22.513331,88.400647,RUBY (GATEWAY HOTEL)
N,Y,STOP,,2756,22.786896,87.920861,DIGRUIGHAT BUS STOP
N,Y,STOP,,2757,22.740409,87.878006,GOURANGAPUR BUS STOP
N,Y,STOP,,2758,22.744106,87.883283,ATGHARA DAS PARA BUS STOP
N,Y,STOP,,2759,22.842651,88.888611,NIRMAN
N,Y,STOP,,2760,22.838531,88.866974,SARAPUL DAK BUNGALOW MORE
N,Y,STOP,,2761,22.804406,88.812587,KEOTSHA
N,Y,STOP,,2762,22.824685,88.786033,CHANDIPUR MORE
N,Y,STOP,,2763,22.835996,88.774271,CHATRA
N,Y,STOP,,2764,22.855664,88.743983,MACHHALANDAPUR
N,Y,STOP,,2765,22.866373,88.698475,PAIRAGACHI (HABRA)
N,Y,STOP,,2766,22.868023,88.743075,NAKPUL
N,Y,STOP,,2767,22.836359,88.643172,SREE CHAITANNYA COLLEGE (HABRA)
N,Y,STOP,,2768,22.7996,88.600029,CHOTO BAMUNIA
N,Y,STOP,,2769,22.719366,88.486612,CHAMPADALI MORE
N,Y,STOP,,2770,22.722465,88.491106,BARASAT GOVT. HOSPITAL
N,Y,STOP,,2772,22.758825,87.896831,SEKENDARPUR
N,Y,STOP,,2773,22.772796,87.901778,TILAK CHAK MORE
N,Y,STOP,,2774,22.775901,87.906685,MAJPUR BUS STOP
N,Y,STOP,,2775,22.823891,87.952996,"KHEJURTALA BUS STAND (KHANAKUL, PURSURA)"
N,Y,STOP,,2776,22.720712,88.373734,KHARDAH PS
N,Y,STOP,,2777,22.645938,88.306679,SOUTH JOYPUR
N,Y,STOP,,2778,22.648905,88.282306,JAGADISHPUR (HOWRAH)
N,Y,STOP,,2779,22.689929,88.762268,MATIA BAZAR (TAKI RD)
N,Y,STOP,,2780,22.683002,88.814825,KHOLAPOTA BDO OFFICE (TAKI RD)
N,Y,STOP,,2781,22.683056,88.820876,PALPARA BUS STOP
N,Y,STOP,,2782,22.668643,88.851312,BASIRHAT TRIMOHINI
N,Y,STOP,,2783,22.623378,88.902253,MADHYAMPUR MORE
N,Y,STOP,,2784,22.582963,88.919265,TAKI CHOWRANGI MORE
N,Y,STOP,,2785,22.567554,88.910846,HASNABAD BUS STAND
N,Y,STOP,,2787,22.541041,88.366229,PARK CIRCUS WBTC TRAM DEPOT
N,Y,STOP,,2788,22.578833,88.856386,MAKHAL GACHA BUS STOP
N,Y,STOP,,2789,22.588149,88.877287,TALPUKUR BAZAR
N,Y,STOP,,2790,22.586603,88.888519,AMLANI
N,Y,STOP,,2791,22.587256,88.933473,TAKI GOVERNMENT COLLEGE BUS STOP
N,Y,STOP,,2792,22.563226,88.311971,BIBEK CHILDREN PARK
N,Y,STOP,,2793,22.928901,88.712308,JALESHWAR SHIV MANDIR
N,Y,STOP,,2795,22.606436,87.936574,JOYPUR P.S (JHIKIRA)
N,Y,STOP,,2796,22.607159,87.920355,AMORAGORI (JHIKIRA)
N,Y,STOP,,2797,22.967579,88.539229,DOLPHIN SCHOOL OF HOTEL MANAGEMENT
N,Y,STOP,,2798,22.968206,88.529135,7 NO (BASANTAPUR KALYANI)
N,Y,STOP,,2799,22.969139,88.523934,BASANTAPUR
N,Y,STOP,,2801,22.970563,88.516754,KATA BELIA
N,Y,STOP,,2802,22.972954,88.496791,"CHECK POST (RAGHUNATHPUR, KALYANI)"
N,Y,STOP,,2803,22.974312,88.486038,ANANDANAGAR BAZAR (KALYANI)
N,Y,STOP,,2804,22.976948,88.470667,KINGFISHER BEER FACTORY (KALYANI)
N,Y,STOP,,2805,22.973622,88.464267,KALYANI SILPANCHAL STATION ROAD SHIV MANDIR
N,Y,STOP,,2806,22.972533,88.463757,BATTALA (KALYANI)
N,Y,STOP,,2807,22.971506,88.466226,KALYANI BUS TERMINUS
N,Y,STOP,,2809,22.735375,88.787502,BADURIA NATUN BAZAR
N,Y,STOP,,2810,22.750199,88.794984,BATTOLA MORE BUS STOP
N,Y,STOP,,2811,22.769815,88.816182,MASIA BAZAR
N,Y,STOP,,2812,22.663373,88.872312,BASIRHAT FIRE BRIGADE
N,Y,STOP,,2813,22.663194,88.871234,BASIRHAT JAIL MORE
N,Y,STOP,,2814,22.662665,88.868477,BASIRHAT JAMRULTALA
N,Y,STOP,,2815,22.450131,88.300214,WBTC JOKA BUS DEPOT
N,Y,STOP,,2816,22.51924,88.37839,KASBA OLD POLICE STATION
N,Y,STOP,,2817,22.519149,88.380607,KASBA BAKULTALA
N,Y,STOP,,2818,22.519416,88.382536,KASBA NEW POLICE STATION (TALBAGAN)
N,Y,STOP,,2819,22.516817,88.387934,TRIBARNA SANGHA
N,Y,STOP,,2820,22.514781,88.390076,RAJDANGA NABAPALLY
N,Y,STOP,,2821,22.514337,88.393514,GITANJALI STADIUM (ACROPOLIS MALL)
N,Y,STOP,,2823,22.513888,88.397302,GST BHAWAN
N,Y,STOP,,2824,22.819181,88.514479,AMDANGA BDO OFFICE
N,Y,STOP,,2825,23.131137,88.564459,PAYRADANGA MAIN RD
N,Y,STOP,,2826,23.093771,88.546077,PALAGACHA MASJID
N,Y,STOP,,2827,22.582278,88.306671,INDOOR STADIUM (HOWRAH)
N,Y,STOP,,2828,22.587147,88.309718,P & T BUS STAND
N,Y,STOP,,2829,22.597739,88.318236,TIKIAPARA T-8 BUS STAND
N,Y,STOP,,2830,22.951203,88.146987,FEEDER ROAD BUS STOP (DHANIAKHALI)
